no,cafename,area,location,time,dayoff,image,dessert,pet,nokids,takeout,delivery,meeting,franchise,parking,price,xlocation,ylocation,score,count,average
1,BLueRibBon,가좌동,경남 진주시 진주대로500번길 38,월~금 11:00 ~ 23:00 / 토~일 11:00 ~ 24:00,,/public/cafe/가좌동/BLueRibBon.jpg,0,0,0,0,0,0,0,0,4000,35.15036344,128.1045368,0,0,0
2,Cherish,가좌동,경남 진주시 가좌길 15 2층,월~일 12:00 ~ 22:00,,/public/cafe/가좌동/Cherish.jpg,0,0,0,0,0,1,0,0,4300,35.15606635,128.1058209,0,0,0
3,TALE coffee,가좌동,경남 진주시 가좌길 63 1층 테일,월~토 08:30 ~ 00:30 / 일 12:00 ~ 22:30,,/public/cafe/가좌동/TALE coffee.jpg,0,0,0,0,1,1,0,1,3700,35.1597064,128.1056079,0,0,0
4,공차 경상대점,가좌동,경남 진주시 진주대로 536 1동 103-1호,월~일 09:00 ~ 22:30,,/public/cafe/가좌동/공차 경상대점.jpg,0,0,0,0,0,0,1,0,3700,35.1542214,128.1070231,0,0,0
5,데이지,가좌동,경남 진주시 진주대로 500 1층,월~금 10:30 ~ 22:00 / 토~일 12:00 ~ 21:00,,/public/cafe/logo.png,1,0,0,0,0,0,0,0,4500,35.15153719,128.1047361,0,0,0
6,두스두스,가좌동,경남 진주시 강변길20번길 20 1층,화~일 11:00 ~ 21:00,월,/public/cafe/가좌동/두스두스.png,0,1,0,0,0,0,0,1,4200,35.16629742,128.1094057,0,0,0
7,라튤립,가좌동,경남 진주시 강변길 20,화~토 12:00 ~ 21:00 / 일 12:00 ~ 19:00,월,/public/cafe/가좌동/라튤립.jpg,1,0,0,0,0,0,0,0,4500,35.16555938,128.1106017,0,0,0
8,루씨르,가좌동,경남 진주시 가좌길 22 2층,월~토 11:30 ~ 22:00,일,/public/cafe/가좌동/루씨르.jpg,0,0,0,0,0,0,0,0,2500,35.15643715,128.1055045,0,0,0
9,반반스프링스커피 경대점,가좌동,경남 진주시 가좌안골길6번길 1 1층 반반스프링스커피,월~일 00:00 ~ 24:00(24시간 영업),,/public/cafe/가좌동/반반스프링스커피 경대점.jpg,0,0,0,0,0,1,1,0,4200,35.15375159,128.107166,0,0,0
10,빽다방 진주경상대1호점,가좌동,경남 진주시 진주대로516번길 6-1 가자상가 103호/ 201호,월~토 08:30 ~ 22:30,일,/public/cafe/logo.png,0,0,0,1,0,0,1,0,2000,35.15222385,128.1060849,0,0,0
11,빽다방 진주경상대후문점,가좌동,경남 진주시 가좌길 17-1 1층,월~목 08:00 ~ 22:00 / 금 08:00 ~ 21:00 / 토~일 09:00 ~ 21:00,,/public/cafe/가좌동/빽다방 진주경상대후문점.png,0,0,0,1,0,0,1,0,2000,35.15611755,128.105544,0,0,0
12,센트럴베이크샵,가좌동,경남 진주시 진주대로 506-1 1층 센트럴베이크샵,월~토 10:00 ~ 22:00 / 일 10:00 ~ 21:00,,/public/cafe/가좌동/센트럴베이크샵.jpg,1,0,0,0,0,1,0,1,4500,35.15205601,128.105425,0,0,0
13,소소커피,가좌동,경남 진주시 가좌길64번길 1 소소커피,월~토 12:00 ~ 22:00,일,/public/cafe/가좌동/소소커피.jpg,1,1,0,0,0,0,0,0,4000,35.15970573,128.1059185,0,0,0
14,스타벅스 진주경상대점,가좌동,경남 진주시 진주대로 510,월~일 07:30 ~ 22:00,,/public/cafe/가좌동/스타벅스 진주경상대점.jpg,0,0,0,0,0,0,1,0,4500,35.15242761,128.1056725,0,0,0
15,아버브런치앤커피,가좌동,경남 진주시 진주역로 114 4동 109호 (시티프라디움2차 광장쪽 상가),월~금 09:00 ~ 17:00 / 토 11:00 ~ 15:00,일,/public/cafe/logo.png,0,0,0,0,0,0,0,0,3500,35.15171296,128.1156809,0,0,0
16,아펠토,가좌동,경남 진주시 진주대로542번길 9-1,월~일 12:00 ~ 22:00,,/public/cafe/가좌동/아펠토.jpg,0,0,0,0,1,1,0,1,4000,35.15491032,128.1081708,0,0,0
17,에피소드02,가좌동,경남 진주시 진주대로568번길 5 1층,화~금 / 일 12:00 ~ 21:00,화 / 토 / 마지막주 일요일,/public/cafe/가좌동/에피소드02.jpg,1,0,0,0,0,0,0,0,3800,35.15741614,128.1081286,0,0,0
18,와플대학 진주 경상대 캠퍼스,가좌동,경남 진주시 가좌길29번길 16,월~토 11:30 ~ 22:00,일,/public/cafe/가좌동/와플대학 진주 경상대 캠퍼스.jpg,0,0,0,0,0,0,0,0,2500,35.15666145,128.1036989,0,0,0
19,카페 와이와이와이,가좌동,경남 진주시 강변길20번길 14 1층,월~일 10:30 ~ 23:00,,/public/cafe/가좌동/카페 와이와이와이.jpg,1,0,0,0,1,0,0,1,5000,35.16613021,128.1099298,0,0,0
20,카페인더박스,가좌동,경남 진주시 강변길20번길 18 1층,월 / 수~일 12:00 ~ 21:00,화,/public/cafe/가좌동/카페인더박스.jpg,1,0,0,0,0,0,0,1,4000,35.16626322,128.1095775,0,0,0
21,커피를 예술로 하는남자 Cafe&Bar,가좌동,경남 진주시 가좌길64번길 3-1 커피를 예술로 하는남자,월~금 11:00 ~ 24:00 / 토~일 12:00 ~ 24:00,,/public/cafe/가좌동/커피로 예술하는 남자 커예남.jpg,0,1,0,0,1,1,0,0,4000,35.1596268,128.1060545,0,0,0
22,투썸플레이스 진주경상대점,가좌동,경남 진주시 진주대로 504,월~일 09:00 ~ 22:00,,/public/cafe/가좌동/투썸플레이스 진주경상대점.jpg,0,0,0,0,0,0,1,0,4000,35.15187011,128.1052426,0,0,0
